data,id_campanha,campanha,canal,objetivo,publico,regiao,dispositivo,impressoes,cliques,leads,conversoes,novos_clientes,investimento,receita_atribuida,orcamento_diario
2025-01-01,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Nordeste,Desktop,4073,272,45,12,7,773.58,8565.99,952.56
2025-01-01,GGL-002,Pesquisa Generica,Google Ads,Conversoes,Intencao ampla,Sudeste,Mobile,5910,225,34,5,5,911.12,4017.79,1404.35
2025-01-01,GGL-003,Performance Max,Google Ads,Receita,Multicanal,Centro-Oeste,Desktop,12014,328,15,2,2,1111.96,2095.31,1114.07
2025-01-01,MET-001,Remarketing Social,Meta Ads,Conversoes,Visitantes do site,Nordeste,Mobile,15210,432,41,9,3,796.1,7148.75,1041.39
2025-01-01,MET-002,Prospeccao Interesses,Meta Ads,Leads,Interesses,Sudeste,Desktop,15624,252,24,3,3,544.52,2209.62,965.95
2025-01-01,MET-003,Publico Lookalike,Meta Ads,Leads,Semelhantes,Centro-Oeste,Tablet,18803,350,24,7,5,670.81,5165.04,974.16
2025-01-01,LNK-001,Demo B2B,LinkedIn Ads,Leads,Decisores B2B,Sudeste,Mobile,5243,43,4,0,0,428.35,0.0,714.42
2025-01-01,LNK-002,Webinar Executivo,LinkedIn Ads,Leads,Liderancas,Nordeste,Mobile,5292,51,7,1,1,447.07,2028.0,658.89
2025-01-01,TTK-001,Video Descoberta,TikTok Ads,Alcance,Publico jovem,Norte,Desktop,30665,707,34,6,6,755.77,2152.8,991.12
2025-01-01,TTK-002,Criadores e Reviews,TikTok Ads,Conversoes,Engajados,Sul,Desktop,27725,699,43,9,7,1121.01,4873.02,1349.24
2025-01-01,EML-001,Oferta Base Ativa,Email Marketing,Receita,Clientes ativos,Sudeste,Mobile,19684,2687,512,43,4,762.38,22007.76,883.2
2025-01-01,EML-002,Nutricao de Leads,Email Marketing,Conversoes,Leads em nutricao,Sul,Mobile,12129,950,109,9,5,437.58,7237.71,627.6
2025-01-02,GGL-001,Pesquisa Marca,Google Ads,Conversoes,Alta intencao,Sudeste,Desktop,3456,188,20,8,6,490.64,6849.02,952.56
2025-01-02,GGL-002,Pesquisa Generica,Google Ads,Conversoes,Intencao ampla,Norte,Mobile,6017,284,33,10,8,1246.57,9501.99,1404.35
